,Titres,"[Formats, Prix]",Nombre de pages Format Broché,Taille du fichier Kindle,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
243,"Mon cahier de recettes: Carnet de recettes a remplir de 117 pages pour y écrire toutes vos recettes | 55 recettes | 2 pages par recette l Grand Format 21,59 x 27,94 cm","['Broché 5,99']",117,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,"4,6",48,https://www.amazon.fr//Mon-cahier-recettes-remplir-recette/dp/B087R82LVF/ref=sr_1_200?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-200
244,Bouddha bols !: Le bol repas qui nous vient d'Asie !,"['Broché 8,95']",96,None,None,None,23 x 0.8 x 23 cm,None,None,"4,5",175,https://www.amazon.fr//Bouddha-bols-repas-vient-dAsie/dp/2035949459/ref=sr_1_201?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-201
245,Mes recettes sans gluten aux légumineuses,"['Broché 14,00']",119,None,None,None,21.1 x 1.2 x 21 cm,None,None,"4,4",8,https://www.amazon.fr//Mes-recettes-sans-gluten-l%C3%A9gumineuses/dp/2360983407/ref=sr_1_202?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-202
246,Méthode Montignac 50 desserts légers pour maigrir !,"['Broché 14,90']",127,None,None,None,16.7 x 1.4 x 24.1 cm,None,None,"3,6",7,https://www.amazon.fr//M%C3%A9thode-Montignac-desserts-l%C3%A9gers-maigrir/dp/2359344773/ref=sr_1_203?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-203
247,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg13_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_204_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672787%26s%3Dbooks%26sr%3D1-204-spons%26psc%3D1&qualifier=1618672787&id=7923956358122352&widgetName=sp_mtf
248,Les recettes d'une connasse,"['Broché 22,00', 'Format Kindle 15,99']",212,55981 KB,None,None,15.3 x 2 x 22.5 cm,None,None,"4,0",15,https://www.amazon.fr//recettes-dune-connasse-Fiona-Schmidt/dp/2016257946/ref=sr_1_205?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-205
249,Ce soir c'est bouddha bol !,"['Broché  16,95']",48,None,None,None,18.3 x 15.7 x 18.3 cm,None,None,"4,4",33,https://www.amazon.fr//Ce-soir-cest-bouddha-bol/dp/2035956110/ref=sr_1_206?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-206
250,Mes recettes powerbiotiques - Préservez votre microbiote - Stimulez les superpouvois,"['Broché 22,90', 'Format Kindle 15,99']",295,99714 KB,None,None,16.1 x 1.8 x 23 cm,None,None,"4,6",7,https://www.amazon.fr//Mes-recettes-powerbiotiques-Marion-Kaplan/dp/2813223581/ref=sr_1_207?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-207
251,Mes Jus de Légumes - recettes à l'extracteur: Carnet de recettes à compléter de vos 100 jus de légumes et fruits préférés | livre de 60 pages | format 15.24 x 22.86 cm,"['Broché 5,99']",59,None,None,None,15.24 x 0.36 x 22.86 cm,None,None,"1,0",2,https://www.amazon.fr//Mes-Jus-L%C3%A9gumes-lextracteur-compl%C3%A9ter/dp/B085RTKHJ5/ref=sr_1_208?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-208
252,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg13_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_209_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672787%26s%3Dbooks%26sr%3D1-209-spons%26psc%3D1&qualifier=1618672787&id=7923956358122352&widgetName=sp_mtf
253,Mon livre de recettes pour le diabète,"['Relié 19,99', 'Broché 14,99']",164,None,None,164,21 x 1 x 14.8 cm,None,21.6 x 1.3 x 15.3 cm,None,None,https://www.amazon.fr//Mon-livre-recettes-pour-diab%C3%A8te/dp/2322217484/ref=sr_1_210?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-210
254,Ma cuisine IG bas - super facile,"['Broché 6,95']",192,None,None,None,19.2 x 1.5 x 20.1 cm,None,None,"4,2",62,https://www.amazon.fr//Ma-cuisine-IG-bas-facile/dp/2263169490/ref=sr_1_211?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-211
255,Mon programme minceur | 90 jours de rééquilibrage alimentaire | Journal à Compléter |Carnet de Suivi de régime: Carnet de Suivi de régime | 90 jours pour retrouver la forme,"['Broché 6,99']",100,None,None,None,15.24 x 0.58 x 22.86 cm,None,None,"2,5",2,https://www.amazon.fr//programme-minceur-r%C3%A9%C3%A9quilibrage-alimentaire-Compl%C3%A9ter/dp/B08R9NJT29/ref=sr_1_212?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-212
256,"365 recettes au Thermomix - Des plus simples aux plus créatives, pour les soirs de semaine ou pour l","['Relié 27,00']",None,None,None,408,None,None,23.1 x 3.3 x 29.4 cm,"4,4",261,https://www.amazon.fr//365-recettes-Thermomix-cr%C3%A9atives-week-end/dp/2263158618/ref=sr_1_213?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672787&s=books&sr=1-213
257,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg13_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_214_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672787%26s%3Dbooks%26sr%3D1-214-spons%26psc%3D1&qualifier=1618672787&id=7923956358122352&widgetName=sp_btf
258,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg14_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_209_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672788%26s%3Dbooks%26sr%3D1-209-spons%26psc%3D1&qualifier=1618672788&id=2162475770553787&widgetName=sp_atf_next
259,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg14_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_210_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672788%26s%3Dbooks%26sr%3D1-210-spons%26psc%3D1&qualifier=1618672788&id=2162475770553787&widgetName=sp_atf_next
260,Marmiton TOP - Vos recettes light préférées,"['Broché 16,90']",398,None,None,None,19.2 x 4.4 x 21.6 cm,None,None,"4,5",4,https://www.amazon.fr//Marmiton-TOP-recettes-light-pr%C3%A9f%C3%A9r%C3%A9es/dp/280967003X/ref=sr_1_211?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-211
261,Recettes à l'extracteur,"['Broché 7,99', 'Format Kindle 5,99']",96,18765 KB,None,None,18.3 x 1.5 x 21 cm,None,None,"4,3",18,https://www.amazon.fr//Recettes-%C3%A0-lextracteur-Marjolaine-Daguerre/dp/2013350570/ref=sr_1_212?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-212
262,Mon cahier Minceur automne hiver new,"['Broché 7,90']",80,None,None,None,17.3 x 0.8 x 22 cm,None,None,"4,3",22,https://www.amazon.fr//Mon-cahier-Minceur-automne-hiver/dp/2263170480/ref=sr_1_213?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-213
263,La Méthode hépato-détox: Mincir durablement et sans danger grâce au foie,"['Format Kindle 13,99', 'Broché 19,90']",300,1403 KB,None,None,15.3 x 2.4 x 24 cm,None,None,"4,3",363,https://www.amazon.fr//R%C3%A9gime-h%C3%A9pato-d%C3%A9tox-Mincir-durablement-danger/dp/2226440984/ref=sr_1_214?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-214
264,Maigrir à vue d'oeil,"['Broché 20,00', 'Format Kindle 13,99']",266,13922 KB,None,None,17.3 x 1.8 x 24.1 cm,None,None,"3,8",92,https://www.amazon.fr//Maigrir-doeil-Docteur-Claude-Chauchard/dp/2813220159/ref=sr_1_215?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-215
265,"Prendre du poids enfin !: Le guide complet de prise de masse destiné aux maigres afin de gagner en muscles, prendre de la masse et grossir, atteindre son poids idéal et reprendre confiance en soi","['Broché 19,00', 'Format Kindle 7,49']",190,,None,None,15.24 x 1.09 x 22.86 cm,None,None,"5,0",1,https://www.amazon.fr//Prendre-poids-enfin-atteindre-reprendre/dp/B08YHYV9M4/ref=sr_1_216?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-216
266,Mes petites recettes magiques objectif corps de rêve,"['Broché 6,00']",190,None,None,None,17.8 x 1.4 x 10.9 cm,None,None,"4,2",5,https://www.amazon.fr//petites-recettes-magiques-objectif-corps/dp/B06WLHH889/ref=sr_1_217?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-217
267,150 recettes de super-jus,"['Format Kindle 4,49', 'Poche 6,90', 'Broché 6,50']",192,16355 KB,192,None,12.5 x 1.2 x 17.8 cm,12.5 x 1.3 x 17.8 cm,None,"4,3",297,https://www.amazon.fr//150-recettes-super-jus-vertus-l%C3%A9gumes/dp/2501139550/ref=sr_1_218?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-218
268,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg14_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_219_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672788%26s%3Dbooks%26sr%3D1-219-spons%26psc%3D1&qualifier=1618672788&id=2162475770553787&widgetName=sp_mtf
269,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg14_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_220_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672788%26s%3Dbooks%26sr%3D1-220-spons%26psc%3D1&qualifier=1618672788&id=2162475770553787&widgetName=sp_mtf
270,Petit livre - Recettes minceur,"['Broché 2,99']",160,None,None,None,8.5 x 1 x 12 cm,None,None,None,None,https://www.amazon.fr//Petit-livre-Recettes-Catherine-POGGI/dp/2412034303/ref=sr_1_221?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-221
271,Bon et Sain,"['Relié 25,90']",None,None,None,288,None,None,20.3 x 3 x 27 cm,"4,6",46,https://www.amazon.fr//Bon-Sain-Gordon-Ramsay/dp/2017042927/ref=sr_1_222?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-222
272,Cuisiner avec un soup maker,"['Format Kindle 7,99', 'Relié 9,95']",None,25014 KB,None,208,None,None,13 x 2 x 19 cm,"4,5",900,https://www.amazon.fr//Cuisiner-avec-maker-No%C3%A9mie-Strouk/dp/2035973864/ref=sr_1_223?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-223
273,Recettes du monde avec Cookeo,"['Format Kindle 7,99', 'Broché 9,95']",168,40037 KB,None,None,18.7 x 1.4 x 23.5 cm,None,None,"4,6",527,https://www.amazon.fr//Recettes-du-monde-avec-Cookeo/dp/2035970083/ref=sr_1_224?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-224
274,Boissons Détox,"['Broché 5,95', 'Format Kindle 4,49']",224,38631 KB,None,None,17.8 x 2 x 17.8 cm,None,None,"3,8",7,https://www.amazon.fr//Boissons-D%C3%A9tox-Collectif/dp/2017084379/ref=sr_1_225?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-225
275,Une journée dans mon assiette Vegan,"['Format Kindle 14,99', 'Relié 19,95']",None,64600 KB,None,192,None,None,20.3 x 2.3 x 23.9 cm,"4,7",184,https://www.amazon.fr//Une-journ%C3%A9e-dans-assiette-Vegan/dp/2017084433/ref=sr_1_226?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-226
276,52 semaines de minceur,"['Broché 15,35']",2221081870,None,None,None,21.6 x 15.8 x 1.6 cm,None,None,"3,7",32,https://www.amazon.fr//52-semaines-minceur-Weight-Watchers/dp/2221081870/ref=sr_1_227?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-227
277,Smoothies et cie avec l'Ultrablend cook,"['Format Kindle 7,99', 'Broché 9,95']",168,27215 KB,None,None,23.4 x 1.8 x 18.5 cm,None,None,"4,5",68,https://www.amazon.fr//Smoothies-cie-avec-lUltrablend-cook/dp/2035955823/ref=sr_1_228?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672788&s=books&sr=1-228
278,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg14_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_229_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672788%26s%3Dbooks%26sr%3D1-229-spons%26psc%3D1&qualifier=1618672788&id=2162475770553787&widgetName=sp_btf
279,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg14_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_230_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672788%26s%3Dbooks%26sr%3D1-230-spons%26psc%3D1&qualifier=1618672788&id=2162475770553787&widgetName=sp_btf
280,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg15_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_225_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672789%26s%3Dbooks%26sr%3D1-225-spons%26psc%3D1&qualifier=1618672789&id=2887078799616953&widgetName=sp_atf_next
281,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg15_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_226_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672789%26s%3Dbooks%26sr%3D1-226-spons%26psc%3D1&qualifier=1618672789&id=2887078799616953&widgetName=sp_atf_next
282,Cuisine italienne et sans gluten !,"['Broché 14,00']",119,None,None,None,21 x 1.2 x 20.9 cm,None,None,"4,5",34,https://www.amazon.fr//Cuisine-italienne-sans-gluten-recettes/dp/2360983520/ref=sr_1_227?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-227
283,"Mes recettes: Carnet de 100 recettes cuisine à remplir | Livre de cuisine personnalisable à faire soi-même avec vos recettes de famille | Cadeau ... de la cuisine, gourmets, cuisiniers, chefs …","['Broché 6,99']",105,None,None,None,21.59 x 0.61 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Mes-recettes-personnalisable-soi-m%C3%AAme-cuisiniers/dp/B08WYDVMTF/ref=sr_1_228?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-228
284,Mes recettes: livre de recettes à remplir - carnet de cuisine de 100 recettes - format A5 - 105 pages,"['Broché 6,69']",105,None,None,None,15.24 x 0.61 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Mes-recettes-remplir-carnet-cuisine/dp/B08N3M26G5/ref=sr_1_229?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-229
285,"Régime cétogène pour débutants, Régime keto: Défi de 28 jour pour transformer votre corps en une machine à brûler les graisses et optimiser vos performances + 60 recettes low-carb adaptées","['Broché 7,99', 'Format Kindle 2,99']",142,: Illimité,None,None,15.24 x 0.81 x 22.86 cm,None,None,"3,4",7,https://www.amazon.fr//R%C3%A9gime-c%C3%A9tog%C3%A8ne-pour-d%C3%A9butants-keto/dp/B089TWR1Z2/ref=sr_1_230?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-230
286,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg15_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_231_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672789%26s%3Dbooks%26sr%3D1-231-spons%26psc%3D1&qualifier=1618672789&id=2887078799616953&widgetName=sp_mtf
287,Le Carnet du Chef: Carnet de Cuisine à remplir soi-même: le Cahier de Cuisine comporte 233 Pages pour 112 Recettes au format A4,"['Broché 7,73']",233,None,None,None,21.59 x 1.35 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Carnet-Chef-soi-m%C3%AAme-comporte-Recettes/dp/B08QSTG397/ref=sr_1_232?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-232
288,"Le Régime de la Thyroïde: Comment booster votre énergie, perdre du poids et activer votre métabolisme tout en maintenant l'équilibre hormonal","['Broché 7,95', 'Format Kindle 3,95']",183,: Illimité,None,None,12.7 x 1.07 x 20.32 cm,None,None,"3,7",407,https://www.amazon.fr//R%C3%A9gime-Thyro%C3%AFde-m%C3%A9tabolisme-maintenant-l%C3%A9quilibre/dp/B087637DNL/ref=sr_1_233?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-233
289,"Mes recettes préférées: Carnet de 100 recettes cuisine à remplir | Livre de cuisine personnalisable à faire soi-même avec vos recettes de famille | ... de la cuisine, gourmets, cuisiniers, chefs …","['Broché 6,99']",105,None,None,None,21.59 x 0.61 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Mes-recettes-pr%C3%A9f%C3%A9r%C3%A9es-personnalisable-cuisiniers/dp/B08WZLYYYW/ref=sr_1_234?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-234
290,"MES 100 RECETTES CUISINE MINCEUR DESSERTS - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I","['Broché 9,40']",105,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,None,None,https://www.amazon.fr//MES-RECETTES-CUISINE-MINCEUR-DESSERTS/dp/B08BWFVXZT/ref=sr_1_235?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-235
291,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg15_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_236_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672789%26s%3Dbooks%26sr%3D1-236-spons%26psc%3D1&qualifier=1618672789&id=2887078799616953&widgetName=sp_mtf
292,Le grand livre de l'alimentation cétogène,"['Format Kindle 7,99', 'Broché 23,95']",448,46685 KB,None,None,19 x 2.4 x 23.1 cm,None,None,"4,5",1231,https://www.amazon.fr//grand-livre-lalimentation-c%C3%A9tog%C3%A8ne/dp/2365492452/ref=sr_1_237?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672789&s=books&sr=1-237
